stop_I;lat;lon;name
401;52.497.913;13.324.429;Pariser Str.  
402;52.500.449;13.330.735;Friedrich-Hollaender-Platz  
403;52.505.056;13.305.218;S Charlottenburg Bhf  
404;52.501.155;13.283.042;S Westkreuz  
405;52.506.862;13.295.433;Amtsgerichtsplatz  
406;52.506.458;13.283.049;S Messe Nord/ICC  
407;52.506.784;133.025;Kaiser-Friedrich-Str./Kantstr.  
408;52.506.618;13.289.784;Kuno-Fischer-Str.  
409;52.503.222;13.307.711;Hindemithplatz  
410;52.506.644;13.307.062;U Wilmersdorfer Str./Kantstr.  
411;52.511.517;13.305.292;U Bismarckstr.  
412;52.505.837;13.306.891;U Wilmersdorfer Str.  
413;52.505.226;13.319.008;S Savignyplatz  
414;52.505.818;13.322.384;Savignyplatz  
415;52.506.298;13.313.974;Kantstr./Leibnizstr.  
416;52.512.131;13.314.781;Bismarckstr./Leibnizstr.  
417;52.508.829;13.314.315;Goethestr.  
418;52.506.077;13.317.649;Schlüterstr.  
419;52.503.336;13.313.591;Mommsenstr.  
420;52.506.599;13.228.293;Scholzplatz  
421;52.507.092;13.235.302;Ragniter Allee  
422;52.507.942;13.249.348;Mohrunger Allee  
423;52.500.735;13.209.544;Am Postfenn  
424;52.494.573;1.319.951;Schildhorn  
425;5.252.559;13.241.907;U Ruhleben  
426;52.517.052;13.250.505;U Olympia-Stadion  
427;52.523.706;13.250.105;Spandauer Damm/Reichsstr.  
428;52.522.558;13.255.023;Park Ruhwald  
429;52.521.784;13.259.303;Meiningenallee  
430;52.527.909;13.243.593;Wiesendammbrücke  
431;52.507.476;13.241.529;Flatowallee/Olympiastadion  
432;52.511.138;13.241.116;S Olympiastadion  
433;52.494.774;13.266.438;Maikäferpfad  
434;52.498.775;13.270.455;S Messe Süd  
435;52.510.268;13.227.202;S Pichelsberg  
436;52.499.349;1.327.218;Jafféstr.  
437;52.492.123;13.263.049;Alte Allee  
438;52.493.603;13.264.932;Kiefernweg  
439;52.501.513;13.274.923;Messegelände/Verwaltung  
440;52.504.698;1.327.961;Messegelände/ICC  
441;52.516.413;13.259.916;U Neu-Westend  
442;52.519.696;13.256.223;Brixplatz  
443;52.508.276;13.258.519;S Heerstr.  
444;52.514.302;1.326.398;Hessenallee  
445;52.511.481;13.268.907;Reichsstr./Kastanienallee  
446;52.508.946;13.265.623;Württembergallee  
447;52.521.327;13.253.249;Westendallee  
448;52.518.591;13.257.915;Altenburger Allee  
449;52.509.802;13.272.983;U Theodor-Heuss-Platz  
450;52.509.974;13.281.973;U Kaiserdamm  
451;52.508.911;13.272.221;U Theodor-Heuss-Platz Süd  
452;52.507.004;13.280.708;Messedamm/ZOB  
453;52.512.829;13.281.437;Knobelsdorffstr.  
454;52.518.351;13.280.302;Königin-Elisabeth-Str/Spandauer Damm  
455;52.518.613;13.284.243;S Westend  
456;52.506.738;13.278.786;Masurenallee/ZOB  
457;52.506.389;13.281.132;Neue Kantstr./ZOB  
458;52.507.426;13.276.596;Haus des Rundfunks  
459;52.510.092;13.271.076;U Theodor-Heuss-Platz West  
460;52.585.029;13.176.941;Oberjägerweg  
461;52.566.719;13.192.629;Johannesstift  
462;52.555.443;1.319.859;Klinkeplatz  
463;52.554.078;13.207.325;Havelschanze  
464;52.573.264;13.212.691;Aalemannufer  
465;52.561.525;13.208.444;Rauchstr.  
466;52.562.515;1.319.688;Cautiusstr.  
467;5.255.984;13.197.456;Mögeldorfer Weg  
468;52.551.899;13.199.761;Schülerbergstr.  
469;52.557.281;13.207.782;Amorbacher Weg  
470;52.565.345;13.209.346;Mertensstr.  
471;52.570.855;13.212.772;Siedlung Hakenfelde  
472;5.256.112;13.212.975;Goltzstr./Rauchstr.  
473;52.564.691;13.215.286;Mertensstr./Goltzstr.  
474;5.257.545;1.321.163;Rustweg  
475;52.567.765;13.210.814;Werderstr.  
476;52.567.655;13.210.176;Eschenweg  
477;52.559.927;13.218.841;Hugo-Cassirer-Str.  
478;52.556.338;13.219.184;Spandauer-See-Brücke  
479;52.560.053;13.220.614;Ashdodstr.  
480;52.578.276;13.210.351;Papenberger Weg  
481;52.584.383;13.207.199;Bürgerablage  
482;52.551.163;13.165.507;Am Kiesteich  
483;52.553.445;1.315.364;Falkenseer Chaussee/Stadtrandstr.  
484;52.556.667;13.164.193;Wasserwerk Spandau  
485;52.556.724;13.149.155;Freudstr./Goldkäferweg  
486;52.562.188;13.158.382;Waldkrankenhaus  
487;52.560.178;13.157.164;Griesingerstr./Stadtrandstr.  
488;52.550.442;13.152.824;Hochhausweg  
489;5.254.838;1.316.247;Spektefeld  
490;52.548.714;1.315.956;Paul-Gerhardt-Ring  
491;52.549.034;13.156.222;Im Spektefeld/Schulzentrum  
492;52.556.648;13.155.095;Glühwürmchenweg  
493;52.555.619;13.169.252;Wolburgsweg  
494;52.554.406;13.174.749;Frankenwaldstr.  
495;52.553.095;13.180.022;Friedhof In den Kisseln  
496;5.256.288;13.165.729;Sandwiesenweg  
497;52.560.822;13.172.104;Bötzow-Bahn  
498;52.559.493;13.177.348;Gliensteig  
499;5.255.814;13.182.399;Schwanter Weg  
500;52.554.151;13.149.382;Freudstr.  
501;52.552.309;13.159.507;Am Bogen  
502;5.255.179;13.162.059;Beerwinkel  
503;52.545.855;13.161.504;Spektebrücke  
504;52.563.972;13.161.585;Radelandstr./Pflegeheim  
505;52.547.566;13.184.739;Falkenseer Chaussee/Zeppelinstr.  
506;52.551.512;13.185.582;Pionierstr./Zeppelinstr.  
507;52.546.425;13.190.899;Hohenzollernring/Falkenseer Chaussee  
508;5.254.162;1.316.807;Dyrotzer Str.  
509;52.556.155;13.188.509;Pausiner Str.  
510;52.541.997;13.183.498;Spekteweg  
511;52.544.777;13.184.074;Merziger Str.  
512;52.548.773;13.178.122;Westerwaldstr.  
513;52.549.935;13.172.418;Mülheimer Str.  
514;52.550.206;13.190.265;Falkenhagener Tor  
515;52.546.901;13.188.259;Zweibrücker Str.  
516;52.540.113;13.175.105;Viersener Str.  
517;52.541.838;13.164.243;Leuthingerweg  
518;52.547.941;1.320.981;Eiswerderstr.  
519;52.545.289;13.208.101;Kirchhofstr.  
520;52.550.726;13.209.887;Neue Bergstr.  
521;52.534.802;13.197.482;S Spandau Bhf  
522;52.538.494;13.182.446;Zeppelinstr./Seegefelder Str.  
523;52.540.993;13.201.984;Falkenseer Platz  
524;52.536.635;1.319.034;Borkzeile  
525;52.535.697;13.194.293;Galenstr.  
526;52.543.653;13.193.109;Borchertweg  
527;52.537.659;1.318.683;Dallgower Str.  
528;52.540.947;13.194.981;Jenneweg  
529;5.253.872;13.197.471;Galenstr./Hohenzollernring  
530;52.545.951;13.193.393;Askanierring  
